,territory,alpha3,first_day,units,paper,population
108,India,IND,sun,metric,A4,1402.62
109,Indonesia,IDN,sun,metric,A4,274.81
110,Iran,IRN,sat,metric,A4,87.72
111,Iraq,IRQ,sat,metric,A4,42.12
112,Ireland,IRL,mon,metric,A4,4.98
113,Isle of Man,IMN,mon,metric,A4,
114,Israel,ISR,sun,metric,A4,8.8
115,Italy,ITA,mon,metric,A4,59.91
116,Jamaica,JAM,sun,metric,A4,2.83
117,Japan,JPN,sun,metric,A4,126.3
118,Jersey,JEY,mon,metric,A4,
119,Jordan,JOR,sat,metric,A4,10.87
120,Kazakhstan,KAZ,mon,metric,A4,19.48
121,Kenya,KEN,sun,metric,A4,52.22
122,Kiribati,KIR,mon,metric,A4,0.13
123,Kosovo,,mon,metric,A4,
124,Kuwait,KWT,sat,metric,A4,4.4
125,Kyrgyzstan,KGZ,mon,metric,A4,6.66
126,Laos,LAO,sun,metric,A4,7.35
127,Latvia,LVA,mon,metric,A4,1.9
128,Lebanon,LBN,mon,metric,A4,5.7
129,Lesotho,LSO,mon,metric,A4,2.24
130,Liberia,LBR,mon,"US, metric",A4,5.15
131,Libya,LBY,sat,metric,A4,7.05
132,Liechtenstein,LIE,mon,metric,A4,0.04
133,Lithuania,LTU,mon,metric,A4,2.8
134,Luxembourg,LUX,mon,metric,A4,0.63
135,Macao SAR China,MAC,sun,metric,A4,
136,Madagascar,MDG,mon,metric,A4,28.95
137,Malawi,MWI,mon,metric,A4,19.53
138,Malaysia,MYS,mon,metric,A4,33.89
139,Maldives,MDV,fri,metric,A4,0.5
140,Mali,MLI,mon,metric,A4,21.71
141,Malta,MLT,sun,metric,A4,0.52
142,Marshall Islands,MHL,sun,metric,A4,0.04
143,Martinique,MTQ,mon,metric,A4,
144,Mauritania,MRT,mon,metric,A4,4.6
145,Mauritius,MUS,mon,metric,A4,1.28
146,Mayotte,MYT,mon,metric,A4,
147,Mexico,MEX,sun,metric,US-Letter,126.8
148,Micronesia,FSM,mon,metric,A4,0.11
149,Moldova,MDA,mon,metric,A4,3.07
150,Monaco,MCO,mon,metric,A4,0.04
151,Mongolia,MNG,mon,metric,A4,3.29
152,Montenegro,MNE,mon,metric,A4,0.61
153,Montserrat,MSR,mon,metric,A4,
154,Morocco,MAR,mon,metric,A4,36.58
155,Mozambique,MOZ,sun,metric,A4,30.78
156,Myanmar (Burma),MMR,sun,"UK, metric",A4,53.02
157,Namibia,NAM,mon,metric,A4,2.73
158,Nauru,NRU,mon,metric,A4,0.01
159,Nepal,NPL,sun,metric,A4,28.97
160,Netherlands,NLD,mon,metric,A4,17.64
161,New Caledonia,NCL,mon,metric,A4,
162,New Zealand,NZL,mon,metric,A4,5.07
163,Nicaragua,NIC,sun,metric,US-Letter,6.57
164,Niger,NER,mon,metric,A4,23.72
165,Nigeria,NGA,mon,metric,A4,214.0
166,Niue,NIU,mon,metric,A4,
167,Norfolk Island,NFK,mon,metric,A4,
168,North Korea,PRK,mon,metric,A4,26.14
169,North Macedonia,MKD,mon,metric,A4,1.87
170,Northern Mariana Islands,MNP,mon,metric,A4,
171,Norway,NOR,mon,metric,A4,5.38
172,Oman,OMN,sat,metric,A4,4.52
173,Pakistan,PAK,sun,metric,A4,235.0
174,Palau,PLW,mon,US,A4,0.02
175,Palestinian Territories,PSE,mon,metric,A4,5.07
176,Panama,PAN,sun,metric,US-Letter,4.29
177,Papua New Guinea,PNG,mon,metric,A4,9.82
178,Paraguay,PRY,sun,metric,A4,6.6
179,Peru,PER,sun,metric,A4,32.84
180,Philippines,PHL,sun,metric,US-Letter,112.08
181,Pitcairn Islands,PCN,mon,metric,A4,
182,Poland,POL,mon,metric,A4,38.17
183,Portugal,PRT,sun,metric,A4,10.37
184,Puerto Rico,PRI,sun,US,US-Letter,
185,Qatar,QAT,sat,metric,A4,2.8
186,Reunion,REU,mon,metric,A4,
187,Romania,ROU,mon,metric,A4,19.39
188,Russia,RUS,mon,metric,A4,146.37
189,Rwanda,RWA,mon,metric,A4,13.07
190,Samoa,WSM,sun,metric,A4,0.21
191,San Marino,SMR,mon,metric,A4,0.03
192,Sao Tome & Principe,STP,mon,metric,A4,0.22
193,Sark,CRQ,mon,metric,A4,
194,Saudi Arabia,SAU,sun,metric,A4,30.99
195,Senegal,SEN,mon,metric,A4,16.79
196,Serbia,SRB,mon,metric,A4,6.91
197,Seychelles,SYC,mon,metric,A4,0.12
198,Sierra Leone,SLE,mon,metric,A4,7.91
199,Singapore,SGP,sun,metric,A4,5.62
200,Sint Maarten,SXM,mon,metric,A4,
201,Slovakia,SVK,mon,metric,A4,5.46
202,Slovenia,SVN,mon,metric,A4,2.1
203,Solomon Islands,SLB,mon,metric,A4,0.74
204,Somalia,SOM,mon,metric,A4,16.65
205,South Africa,ZAF,sun,metric,A4,60.56
206,South Georgia & South Sandwich Islands,SGS,mon,metric,A4,
207,South Korea,KOR,sun,metric,A4,51.86
208,South Sudan,SSD,mon,metric,A4,10.7
209,Spain,ESP,mon,metric,A4,47.68
210,Sri Lanka,LKA,mon,metric,A4,22.56
211,St. Barthelemy,BLM,mon,metric,A4,
212,St. Helena,SHN,mon,metric,A4,
213,St. Kitts & Nevis,KNA,mon,metric,A4,0.05
214,St. Lucia,LCA,mon,metric,A4,0.18
215,St. Martin,MAF,mon,metric,A4,
216,St. Pierre & Miquelon,SPM,mon,metric,A4,
217,St. Vincent & Grenadines,VCT,mon,metric,A4,0.1
218,Sudan,SDN,sat,metric,A4,46.79
219,Suriname,SUR,mon,metric,A4,0.61
220,Svalbard & Jan Mayen,SJM,mon,metric,A4,
221,Sweden,SWE,mon,metric,A4,10.35
222,Switzerland,CHE,mon,metric,A4,8.64
223,Syria,SYR,sat,metric,A4,21.05
224,Taiwan,TWN,sun,metric,A4,23.66
225,Tajikistan,TJK,mon,metric,A4,9.75
226,Tanzania,TZA,mon,metric,A4,60.97
227,Thailand,THA,sun,metric,A4,71.64
228,Timor-Leste,TLS,mon,metric,A4,1.33
229,Togo,TGO,mon,metric,A4,8.67
230,Tokelau,TKL,mon,metric,A4,
231,Tonga,TON,mon,metric,A4,0.11
232,Trinidad & Tobago,TTO,sun,metric,A4,1.48
233,Tristan da Cunha,TAA,mon,metric,A4,
234,Tunisia,TUN,mon,metric,A4,11.97
235,Turkiye,TUR,mon,metric,A4,86.09
236,Turkmenistan,TKM,mon,metric,A4,6.95
237,Turks & Caicos Islands,TCA,mon,metric,A4,
238,Tuvalu,TUV,mon,metric,A4,0.01
239,U.S. Outlying Islands,UMI,sun,metric,A4,
240,U.S. Virgin Islands,VIR,sun,metric,A4,
241,Uganda,UGA,mon,metric,A4,44.46
242,Ukraine,UKR,mon,metric,A4,44.68
243,United Arab Emirates,ARE,sat,metric,A4,9.45
244,United Kingdom,GBR,mon,UK,A4,67.35
245,United States,USA,sun,US,US-Letter,339.44
246,Uruguay,URY,mon,metric,A4,3.4
247,Uzbekistan,UZB,mon,metric,A4,33.59
248,Vanuatu,VUT,mon,metric,A4,0.3
249,Vatican City,VAT,mon,metric,A4,
250,Venezuela,VEN,sun,metric,US-Letter,28.44
251,Vietnam,VNM,mon,metric,A4,98.08
252,Wallis & Futuna,WLF,mon,metric,A4,
253,Western Sahara,ESH,mon,metric,A4,
254,Yemen,YEM,sun,metric,A4,36.13
255,Zambia,ZMB,mon,metric,A4,19.06
256,Zimbabwe,ZWE,sun,metric,A4,15.53
